time,total_people,infected
8.950744152069092,0,0
10.132241249084473,0,0
10.330710887908936,0,0
10.527184009552002,0,0
10.725682258605957,0,0
10.921159982681274,0,0
11.12361764907837,0,0
11.323085069656372,0,0
11.525543212890625,0,0
11.721019983291626,0,0
11.920488119125366,0,0
12.115965127944946,0,0
12.329393148422241,0,0
12.528859615325928,0,0
12.728327751159668,0,0
12.927793264389038,0,0
13.128643989562988,0,0
13.32511830329895,0,0
13.523587465286255,0,0
14.1136314868927,1,1
14.136656522750854,1,1
14.153640985488892,1,1
14.664010763168335,1,1
14.669995307922363,1,1
14.721990823745728,1,1
14.920405387878418,1,1
15.120868921279907,1,1
15.320337057113647,1,1
15.518318176269531,1,1
15.719727039337158,1,1
15.919745683670044,1,1
16.131181240081787,1,1
16.331644296646118,1,1
16.52811908721924,1,1
16.73057770729065,1,1
16.931041479110718,1,1
17.131505250930786,1,1
17.331969499588013,1,1
17.516476154327393,1,1
17.71594548225403,1,1
17.932363748550415,2,1
18.116869926452637,2,1
18.316336631774902,2,1
18.530636072158813,2,1
18.72961664199829,2,1
18.926092386245728,2,1
19.12755250930786,2,1
19.326021909713745,2,1
19.52648687362671,2,1
19.72694969177246,2,1
19.927422046661377,2,1
20.126888275146484,2,1
20.32937002182007,2,1
20.52686882019043,2,1
20.72434091567993,2,1
20.92580246925354,2,1
21.12526822090149,2,1
21.326731204986572,2,1
21.52571415901184,2,1
21.725182056427002,2,1
22.382972240447998,3,2
22.48968815803528,3,2
22.508636474609375,3,2
22.526588201522827,3,2
22.721644401550293,3,2
23.06482768058777,3,2
23.164872646331787,3,2
23.366995096206665,3,2
23.518136501312256,3,2
23.71959662437439,3,2
23.917330741882324,3,2
24.130287885665894,3,2
24.35767912864685,3,2
24.523468732833862,3,2
24.7194504737854,3,2
24.919919967651367,3,2
25.121887683868408,3,2
25.324860095977783,3,2
25.531307458877563,3,2
25.719802618026733,3,2
26.424609661102295,4,3
26.441561460494995,4,3
26.45849084854126,4,3
26.52331829071045,4,3
26.72381830215454,4,3
26.92662024497986,4,3
27.125088691711426,4,3
27.327072620391846,4,3
27.525580167770386,4,3
27.72356867790222,4,3
27.92004108428955,4,3
28.118510484695435,4,3
28.31797766685486,4,3
28.516446590423584,4,3
28.73134446144104,4,3
28.916275024414062,4,3
29.117247581481934,4,3
29.3207049369812,4,3
29.5261549949646,4,3
29.729609966278076,4,3
29.933067321777344,5,3
30.12055802345276,5,3
30.31848978996277,5,3
30.517158031463623,5,3
30.72511339187622,5,3
30.927571773529053,5,3
31.124046564102173,5,3
31.324511766433716,5,3
31.518990755081177,5,3
31.726435661315918,5,3
31.960810661315918,5,3
32.19019556045532,5,3
32.406617164611816,5,3
32.539263010025024,5,3
32.82450079917908,5,3
32.97809100151062,5,3
33.26232862472534,5,3
33.34019899368286,5,3
33.52910232543945,5,3
33.726574420928955,5,3
33.94898080825806,6,3
34.11752915382385,6,3
34.67207169532776,6,4
34.68005037307739,6,4
34.730429887771606,6,4
34.929898738861084,6,4
35.128366231918335,6,4
35.32583785057068,6,4
35.52481770515442,6,4
35.72029948234558,6,4
35.93372917175293,6,4
36.11925530433655,6,4
36.31774926185608,6,4
36.527188301086426,6,4
36.7166805267334,6,4
36.94507074356079,6,4
37.12459087371826,6,4
37.3300404548645,6,4
38.06607389450073,6,5
38.36327886581421,7,5
38.39120364189148,7,5
38.40516686439514,7,5
38.76221251487732,7,6
38.77717423439026,7,6
38.79412508010864,7,6
38.92776799201965,7,6
39.12424397468567,7,6
39.322712421417236,7,6
39.519187211990356,7,6
39.71865272521973,7,6
39.916126012802124,7,6
40.11760139465332,7,6
40.329036712646484,7,6
40.52850270271301,7,6
40.722983598709106,7,6
40.92145323753357,7,6
41.11738896369934,7,6
41.331401109695435,7,6
41.51581931114197,7,6
41.73010802268982,7,6
41.929574728012085,7,6
42.12804388999939,7,6
42.330503702163696,7,6
42.530967235565186,8,6
43.06952738761902,8,7
43.07551169395447,8,7
43.12537693977356,8,7
43.32284879684448,8,7
43.525816440582275,8,7
43.725613594055176,8,7
43.920602560043335,8,7
44.13093328475952,8,7
44.33167576789856,8,7
44.530338287353516,8,7
44.72980499267578,8,7
44.92729663848877,8,7
45.12379550933838,8,7
45.3202691078186,8,7
45.51973557472229,8,7
45.731170892715454,8,7
45.91567802429199,8,7
46.1176495552063,8,7
46.330779790878296,8,7
46.531243324279785,9,7
47.05236196517944,9,8
47.05934286117554,9,8
47.124168157577515,9,8
47.32463312149048,9,8
47.52110743522644,9,8
47.72057318687439,9,8
47.916051626205444,9,8
48.116514921188354,9,8
48.32795000076294,9,8
48.52841305732727,9,8
48.723891496658325,9,8
48.92036509513855,9,8
49.11684036254883,9,8
49.33027172088623,9,8
49.528433084487915,9,8
49.7267963886261,9,8
49.92294239997864,9,8
50.120410442352295,9,8
50.3193941116333,9,8
50.5248441696167,10,8
50.723313093185425,10,8
50.92078495025635,10,8
51.11776852607727,10,8
51.332197427749634,10,8
51.51588416099548,10,8
51.71685433387756,10,8
51.92928600311279,10,8
52.12675929069519,10,8
52.32223629951477,10,8
52.52070617675781,10,8
52.722631216049194,10,8
52.91885757446289,10,8
53.12082362174988,10,8
53.32080125808716,10,8
53.51628088951111,10,8
53.73170471191406,10,8
53.92718172073364,10,8
